Date,burger_sales,Instagram_Cost,Bing_Cost,Facebook_Cost,Google_Cost,Pinterest_Cost,Tiktok Cost
2020-01-01,950,0.0,0.0,1041.1,4447.4,0.0,0.0
2020-01-02,1340,582.5,0.0,2597.0,6561.1,0.0,0.0
2020-01-03,1370,551.5,0.0,2580.0,6500.299999999999,0.0,0.0
2020-01-04,1160,0.0,0.0,2245.5,6499.6,0.0,0.0
2020-01-05,1070,540.0,0.0,1751.1,6499.099999999999,0.0,0.0
2020-01-06,1290,838.5,0.0,2621.3,10915.1,0.0,0.0
2020-01-07,1750,653.3,0.0,2434.9,10774.7,0.0,0.0
2020-01-08,1480,577.4,0.0,3341.8,12755.9,0.0,0.0
2020-01-09,1680,642.0,0.0,2020.2,23385.100000000002,0.0,0.0
2020-01-10,1800,869.8,0.0,2280.3999999999996,17953.5,0.0,0.0
2020-01-11,1360,581.5,0.0,1411.1,20323.9,0.0,0.0
2020-01-12,1490,626.9,0.0,1592.2,22346.100000000002,0.0,0.0
2020-01-13,1730,526.8,0.0,2322.4,19912.00904,0.0,0.0
2020-01-14,1960,595.3,0.0,3076.2585,19597.95697,0.0,0.0
2020-01-15,1690,585.7,0.0,2993.6712700000003,19410.80666,0.0,0.0
2020-01-16,1640,655.7,0.0,3899.50992,15491.85395,0.0,0.0
2020-01-17,1680,614.3,0.0,2993.5241,15147.13337,0.0,0.0
2020-01-18,1510,656.8,0.0,1769.67207,15213.88783,0.0,0.0
2020-01-19,1370,518.1,0.0,2385.68829,14529.27408,0.0,0.0
2020-01-20,1290,561.2,0.0,2449.8559999999998,8492.241699999999,0.0,0.0
2020-01-21,1730,709.8,0.0,3261.0445299999997,15543.45727,0.0,0.0
2020-01-22,1550,818.7,0.0,3379.29324,14570.213199999998,0.0,0.0
2020-01-23,1970,523.4,0.0,2514.22663,12681.594939999999,0.0,0.0
2020-01-24,1970,678.2,0.0,2336.99222,13474.874319999999,0.0,0.0
2020-01-25,1940,542.7,0.0,2031.3387599999999,11454.19298,0.0,0.0
2020-01-26,2050,565.4,0.0,2604.39962,12728.05531,0.0,0.0
2020-01-27,2040,596.2,0.0,2435.1618099999996,15065.66721,0.0,0.0
2020-01-28,1920,931.5,0.0,2384.77013,12827.653460000001,0.0,0.0
2020-01-29,1780,795.0,0.0,3176.0497400000004,12669.155490000001,0.0,0.0
2020-01-30,1860,626.8,0.0,3272.4444399999998,13226.050720000001,0.0,0.0
2020-01-31,1750,556.7,0.0,2119.6902099999998,13812.328109999999,0.0,0.0
2020-02-01,1380,557.5,0.0,1822.9653099999998,12165.880239999999,0.0,0.0
2020-02-02,1480,0.0,0.0,1559.25899,11835.601340000001,0.0,0.0
2020-02-03,1720,636.1,0.0,2912.38388,17220.29032,0.0,0.0
2020-02-04,1990,730.2,0.0,2782.56359,17042.99822,0.0,0.0
2020-02-05,2020,914.3,0.0,2156.565,13595.56697,0.0,0.0
2020-02-06,1700,635.7,0.0,4019.28986,14505.947479999999,0.0,0.0
2020-02-07,1860,607.5,0.0,3838.41645,14139.44941,0.0,0.0
